ticket_id,title,description,category,component,issue_type,severity,priority,status,assigned_team,environment,resolution,created_date,steps_to_reproduce
ITS-00018,SAP compatibility issue,"Hi, I need help. SAP keeps compatibility issue. Started yesterday. I'm on Windows 10.",Software,SAP,Service Request,High,High,In Progress,Network Engineering,Windows 10,,2025-02-20,"1. Open SAP
2. Attempt normal operation
3. Observe: compatibility issue"
ITS-00019,SAP license expired,Urgent: SAP - license expired. Multiple users reporting similar issues. Environment is macOS 14.,Software,SAP,Question,Medium,Medium,Resolved,Security,macOS 14,Configured firewall exceptions. Verified with user that issue is fixed.,2025-01-20,"1. Open SAP
2. Attempt normal operation
3. Observe: license expired"
ITS-00020,Proxy problem: IP conflict,"Hi, I need help. Proxy keeps IP conflict. Started yesterday. I'm on Ubuntu 22.04.",Network,Proxy,Service Request,Medium,Medium,Open,DevOps,Ubuntu 22.04,,2025-12-25,"1. Open Proxy
2. Attempt normal operation
3. Observe: IP conflict"
ITS-00021,Email Server degraded performance across region,The Email Server has been degraded performance across region for the past few hours. OS: Windows 11. Please help.,Incident,Email Server,Incident,Medium,Medium,Open,Security,Windows 11,,2025-09-24,"1. Open Email Server
2. Attempt normal operation
3. Observe: degraded performance across region"
ITS-00022,Laptop problem: fan making loud noise,The Laptop has been fan making loud noise for the past few hours. OS: Windows 11. Please help.,Hardware,Laptop,Question,Medium,Medium,Closed,Network Engineering,Windows 11,Replaced faulty component. Verified with user that issue is fixed.,2025-12-14,"1. Open Laptop
2. Attempt normal operation
3. Observe: fan making loud noise"
ITS-00023,[Software] Salesforce - compatibility issue,My Salesforce is compatibility issue. I've been experiencing this since this morning. Environment: Windows 10.,Software,Salesforce,Service Request,Critical,Critical,Closed,IT Operations,Windows 10,Configured firewall exceptions. Verified with user that issue is fixed.,2025-11-06,"1. Open Salesforce
2. Attempt normal operation
3. Observe: compatibility issue"
ITS-00024,[Hardware] Mouse - not turning on,"Hi, I need help. Mouse keeps not turning on. Started yesterday. I'm on Chrome OS.",Hardware,Mouse,Question,Low,Low,Closed,IT Operations,Chrome OS,Replaced faulty component. Verified with user that issue is fixed.,2025-10-07,"1. Open Mouse
2. Attempt normal operation
3. Observe: not turning on"
ITS-00025,Docking Station freezing randomly,The Docking Station has been freezing randomly for the past few hours. OS: Windows 10. Please help.,Hardware,Docking Station,Service Request,Critical,Critical,In Progress,Security,Windows 10,,2025-03-11,"1. Open Docking Station
2. Attempt normal operation
3. Observe: freezing randomly"
ITS-00026,Proxy problem: cannot access internal resources,My Proxy is cannot access internal resources. I've been experiencing this since this morning. Environment: macOS 14.,Network,Proxy,Service Request,Medium,Medium,In Progress,Security,macOS 14,,2025-10-20,"1. Open Proxy
2. Attempt normal operation
3. Observe: cannot access internal resources"
ITS-00027,Outlook missing features after update,The Outlook has been missing features after update for the past few hours. OS: Windows 10. Please help.,Software,Outlook,Question,Medium,Medium,In Progress,Security,Windows 10,,2025-03-08,"1. Open Outlook
2. Attempt normal operation
3. Observe: missing features after update"
ITS-00028,Active Directory SSO login loop,Issue with Active Directory: SSO login loop. This is affecting my work. Running on Chrome OS.,Account,Active Directory,Service Request,Low,Low,In Progress,Network Engineering,Chrome OS,,2025-09-03,"1. Open Active Directory
2. Attempt normal operation
3. Observe: SSO login loop"
ITS-00029,Database problem: unauthorized access attempt detected,The Database has been unauthorized access attempt detected for the past few hours. OS: Ubuntu 22.04. Please help.,Incident,Database,Incident,Medium,Medium,In Progress,Help Desk,Ubuntu 22.04,,2025-04-27,"1. Open Database
2. Attempt normal operation
3. Observe: unauthorized access attempt detected"
ITS-00030,[Hardware] Keyboard - not turning on,"Hi, I need help. Keyboard keeps not turning on. Started yesterday. I'm on Windows 10.",Hardware,Keyboard,Bug,Medium,Medium,Open,DevOps,Windows 10,,2025-11-02,"1. Open Keyboard
2. Attempt normal operation
3. Observe: not turning on"
ITS-00031,[Hardware] Printer - fan making loud noise,"Hi, I need help. Printer keeps fan making loud noise. Started yesterday. I'm on Chrome OS.",Hardware,Printer,Bug,High,High,Open,Security,Chrome OS,,2025-09-28,"1. Open Printer
2. Attempt normal operation
3. Observe: fan making loud noise"
ITS-00032,[Network] DNS - VPN connection drops,My DNS is VPN connection drops. I've been experiencing this since this morning. Environment: Windows 11.,Network,DNS,Bug,Medium,Medium,Resolved,IT Operations,Windows 11,Updated VPN client. Verified with user that issue is fixed.,2025-06-07,"1. Open DNS
2. Attempt normal operation
3. Observe: VPN connection drops"
ITS-00033,Web App problem: backup job failed overnight,Issue with Web App: backup job failed overnight. This is affecting my work. Running on macOS 14.,Incident,Web App,Incident,Medium,Medium,Resolved,IT Operations,macOS 14,Re-ran backup with increased timeout. Verified with user that issue is fixed.,2025-07-18,"1. Open Web App
2. Attempt normal operation
3. Observe: backup job failed overnight"
ITS-00034,Docking Station cracked screen,Issue with Docking Station: cracked screen. This is affecting my work. Running on Ubuntu 22.04.,Hardware,Docking Station,Question,Low,Low,Closed,Network Engineering,Ubuntu 22.04,Replaced faulty component. Verified with user that issue is fixed.,2025-04-03,"1. Open Docking Station
2. Attempt normal operation
3. Observe: cracked screen"
ITS-00035,Database unauthorized access attempt detected,My Database is unauthorized access attempt detected. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Incident,Database,Incident,Medium,Medium,Open,Network Engineering,Ubuntu 22.04,,2025-05-09,"1. Open Database
2. Attempt normal operation
3. Observe: unauthorized access attempt detected"
ITS-00036,[Software] Salesforce - license expired,"Hi, I need help. Salesforce keeps license expired. Started yesterday. I'm on Windows 10.",Software,Salesforce,Question,Medium,Medium,Open,IT Operations,Windows 10,,2025-03-28,"1. Open Salesforce
2. Attempt normal operation
3. Observe: license expired"
ITS-00037,VPN cannot connect to WiFi,The VPN has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.,Network,VPN,Question,Medium,Medium,Resolved,Network Engineering,macOS 14,Replaced network cable. Verified with user that issue is fixed.,2025-11-26,"1. Open VPN
2. Attempt normal operation
3. Observe: cannot connect to WiFi"
ITS-00038,Printer not turning on,"Hi, I need help. Printer keeps not turning on. Started yesterday. I'm on Windows 11.",Hardware,Printer,Service Request,Medium,Medium,Closed,Network Engineering,Windows 11,Ordered replacement unit. Verified with user that issue is fixed.,2025-03-05,"1. Open Printer
2. Attempt normal operation
3. Observe: not turning on"
ITS-00039,Database problem: unauthorized access attempt detected,Issue with Database: unauthorized access attempt detected. This is affecting my work. Running on Windows 11.,Incident,Database,Incident,Low,Low,In Progress,Network Engineering,Windows 11,,2025-11-20,"1. Open Database
2. Attempt normal operation
3. Observe: unauthorized access attempt detected"
ITS-00040,Outlook not responding,"Hi, I need help. Outlook keeps not responding. Started yesterday. I'm on Windows 11.",Software,Outlook,Service Request,Medium,Medium,Closed,Help Desk,Windows 11,Reset user profile. Verified with user that issue is fixed.,2025-06-09,"1. Open Outlook
2. Attempt normal operation
3. Observe: not responding"
ITS-00041,Laptop problem: slow performance,My Laptop is slow performance. I've been experiencing this since this morning. Environment: Windows 11.,Hardware,Laptop,Bug,Critical,Critical,Resolved,Network Engineering,Windows 11,Cleaned internal fans. Verified with user that issue is fixed.,2025-08-12,"1. Open Laptop
2. Attempt normal operation
3. Observe: slow performance"
ITS-00042,Outlook problem: crashing on startup,"Hi, I need help. Outlook keeps crashing on startup. Started yesterday. I'm on Chrome OS.",Software,Outlook,Question,Medium,Medium,Closed,DevOps,Chrome OS,Configured firewall exceptions. Verified with user that issue is fixed.,2025-12-26,"1. Open Outlook
2. Attempt normal operation
3. Observe: crashing on startup"
ITS-00043,Laptop problem: not connecting to docking station,Issue with Laptop: not connecting to docking station. This is affecting my work. Running on Ubuntu 22.04.,Hardware,Laptop,Bug,Medium,Medium,In Progress,IT Operations,Ubuntu 22.04,,2025-03-02,"1. Open Laptop
2. Attempt normal operation
3. Observe: not connecting to docking station"
ITS-00044,Load Balancer problem: memory exhaustion on app server,"Hi, I need help. Load Balancer keeps memory exhaustion on app server. Started yesterday. I'm on Ubuntu 22.04.",Incident,Load Balancer,Incident,High,High,In Progress,IT Operations,Ubuntu 22.04,,2025-07-21,"1. Open Load Balancer
2. Attempt normal operation
3. Observe: memory exhaustion on app server"
ITS-00045,[Network] DNS - cannot connect to WiFi,The DNS has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.,Network,DNS,Bug,Critical,Critical,Open,Help Desk,macOS 14,,2025-09-10,"1. Open DNS
2. Attempt normal operation
3. Observe: cannot connect to WiFi"
ITS-00046,[Incident] Storage - SSL certificate expired,My Storage is SSL certificate expired. I've been experiencing this since this morning. Environment: Chrome OS.,Incident,Storage,Incident,Medium,Medium,Resolved,IT Operations,Chrome OS,Re-ran backup with increased timeout. Verified with user that issue is fixed.,2025-07-05,"1. Open Storage
2. Attempt normal operation
3. Observe: SSL certificate expired"
ITS-00047,[Incident] Storage - data sync failure between systems,Issue with Storage: data sync failure between systems. This is affecting my work. Running on Ubuntu 22.04.,Incident,Storage,Incident,Medium,Medium,Closed,Network Engineering,Ubuntu 22.04,Restarted affected services. Verified with user that issue is fixed.,2025-12-02,"1. Open Storage
2. Attempt normal operation
3. Observe: data sync failure between systems"
ITS-00048,[Software] VPN - update failed,"Hi, I need help. VPN keeps update failed. Started yesterday. I'm on macOS 14.",Software,VPN,Bug,Medium,Medium,Closed,Help Desk,macOS 14,Reinstalled application. Verified with user that issue is fixed.,2025-06-17,"1. Open VPN
2. Attempt normal operation
3. Observe: update failed"
ITS-00049,Email problem: permission denied,Urgent: Email - permission denied. Multiple users reporting similar issues. Environment is Chrome OS.,Account,Email,Service Request,High,High,Open,Network Engineering,Chrome OS,,2025-05-07,"1. Open Email
2. Attempt normal operation
3. Observe: permission denied"
ITS-00050,VPN problem: not syncing properly,"Hi, I need help. VPN keeps not syncing properly. Started yesterday. I'm on macOS 14.",Software,VPN,Service Request,High,High,Open,Security,macOS 14,,2025-06-26,"1. Open VPN
2. Attempt normal operation
3. Observe: not syncing properly"
ITS-00051,Ethernet IP conflict,Issue with Ethernet: IP conflict. This is affecting my work. Running on Windows 10.,Network,Ethernet,Service Request,Medium,Medium,Open,Network Engineering,Windows 10,,2025-08-09,"1. Open Ethernet
2. Attempt normal operation
3. Observe: IP conflict"
ITS-00052,Password problem: email forwarding setup,Urgent: Password - email forwarding setup. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Account,Password,Service Request,High,High,In Progress,IT Operations,Ubuntu 22.04,,2025-12-07,"1. Open Password
2. Attempt normal operation
3. Observe: email forwarding setup"
ITS-00053,Desktop battery not charging,The Desktop has been battery not charging for the past few hours. OS: Windows 11. Please help.,Hardware,Desktop,Service Request,High,High,In Progress,IT Operations,Windows 11,,2025-10-26,"1. Open Desktop
2. Attempt normal operation
3. Observe: battery not charging"
ITS-00054,SSO problem: cannot access shared mailbox,My SSO is cannot access shared mailbox. I've been experiencing this since this morning. Environment: Chrome OS.,Account,SSO,Bug,High,High,Resolved,DevOps,Chrome OS,Reset password and synced. Verified with user that issue is fixed.,2025-04-19,"1. Open SSO
2. Attempt normal operation
3. Observe: cannot access shared mailbox"
ITS-00055,Keyboard problem: no display output,The Keyboard has been no display output for the past few hours. OS: macOS 14. Please help.,Hardware,Keyboard,Service Request,Medium,Medium,Open,IT Operations,macOS 14,,2025-08-10,"1. Open Keyboard
2. Attempt normal operation
3. Observe: no display output"
ITS-00056,Password MFA not working,Urgent: Password - MFA not working. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Account,Password,Question,Medium,Medium,In Progress,Help Desk,Ubuntu 22.04,,2025-04-12,"1. Open Password
2. Attempt normal operation
3. Observe: MFA not working"
ITS-00057,Web App problem: failover did not trigger,Issue with Web App: failover did not trigger. This is affecting my work. Running on macOS 14.,Incident,Web App,Incident,Medium,Medium,Resolved,Security,macOS 14,Performed manual failover. Verified with user that issue is fixed.,2025-08-11,"1. Open Web App
2. Attempt normal operation
3. Observe: failover did not trigger"
ITS-00058,Office 365 problem: update failed,"Hi, I need help. Office 365 keeps update failed. Started yesterday. I'm on Windows 10.",Software,Office 365,Service Request,High,High,In Progress,Help Desk,Windows 10,,2025-05-21,"1. Open Office 365
2. Attempt normal operation
3. Observe: update failed"
ITS-00059,[Incident] API Gateway - unauthorized access attempt detected,The API Gateway has been unauthorized access attempt detected for the past few hours. OS: Windows 11. Please help.,Incident,API Gateway,Incident,Medium,Medium,In Progress,Help Desk,Windows 11,,2025-09-25,"1. Open API Gateway
2. Attempt normal operation
3. Observe: unauthorized access attempt detected"
ITS-00060,[Software] Teams - memory leak causing slowdown,The Teams has been memory leak causing slowdown for the past few hours. OS: Windows 10. Please help.,Software,Teams,Question,Medium,Medium,Closed,DevOps,Windows 10,Reinstalled application. Verified with user that issue is fixed.,2025-09-05,"1. Open Teams
2. Attempt normal operation
3. Observe: memory leak causing slowdown"
ITS-00061,Laptop screen flickering,Urgent: Laptop - screen flickering. Multiple users reporting similar issues. Environment is Chrome OS.,Hardware,Laptop,Bug,Low,Low,Open,Help Desk,Chrome OS,,2025-10-23,"1. Open Laptop
2. Attempt normal operation
3. Observe: screen flickering"
ITS-00062,Monitor problem: not connecting to docking station,My Monitor is not connecting to docking station. I've been experiencing this since this morning. Environment: Windows 11.,Hardware,Monitor,Service Request,High,High,In Progress,DevOps,Windows 11,,2025-06-07,"1. Open Monitor
2. Attempt normal operation
3. Observe: not connecting to docking station"
ITS-00063,[Network] Ethernet - VPN connection drops,The Ethernet has been VPN connection drops for the past few hours. OS: Windows 10. Please help.,Network,Ethernet,Question,High,High,Open,IT Operations,Windows 10,,2025-06-26,"1. Open Ethernet
2. Attempt normal operation
3. Observe: VPN connection drops"
ITS-00064,MFA group membership change needed,Urgent: MFA - group membership change needed. Multiple users reporting similar issues. Environment is Windows 11.,Account,MFA,Question,Critical,Critical,Open,DevOps,Windows 11,,2025-12-18,"1. Open MFA
2. Attempt normal operation
3. Observe: group membership change needed"
ITS-00065,[Hardware] Monitor - overheating,My Monitor is overheating. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Hardware,Monitor,Bug,Medium,Medium,Closed,Help Desk,Ubuntu 22.04,Replaced faulty component. Verified with user that issue is fixed.,2025-10-16,"1. Open Monitor
2. Attempt normal operation
3. Observe: overheating"
ITS-00066,[Account] MFA - SSO login loop,Urgent: MFA - SSO login loop. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Account,MFA,Bug,Medium,Medium,Resolved,IT Operations,Ubuntu 22.04,Granted appropriate permissions. Verified with user that issue is fixed.,2025-04-27,"1. Open MFA
2. Attempt normal operation
3. Observe: SSO login loop"
ITS-00067,[Incident] Storage - disk space critical on production server,"Hi, I need help. Storage keeps disk space critical on production server. Started yesterday. I'm on macOS 14.",Incident,Storage,Incident,Critical,Critical,Resolved,Network Engineering,macOS 14,Blocked IP and reviewed access logs. Verified with user that issue is fixed.,2025-10-05,"1. Open Storage
2. Attempt normal operation
3. Observe: disk space critical on production server"
ITS-00068,Laptop problem: battery not charging,Issue with Laptop: battery not charging. This is affecting my work. Running on Windows 11.,Hardware,Laptop,Service Request,Medium,Medium,Open,Network Engineering,Windows 11,,2025-03-06,"1. Open Laptop
2. Attempt normal operation
3. Observe: battery not charging"
ITS-00069,[Account] SSO - new hire needs account setup,Issue with SSO: new hire needs account setup. This is affecting my work. Running on Windows 11.,Account,SSO,Bug,High,High,Resolved,Network Engineering,Windows 11,Re-enrolled MFA device. Verified with user that issue is fixed.,2025-07-03,"1. Open SSO
2. Attempt normal operation
3. Observe: new hire needs account setup"
ITS-00070,[Hardware] Desktop - USB ports not working,My Desktop is USB ports not working. I've been experiencing this since this morning. Environment: macOS 14.,Hardware,Desktop,Bug,Low,Low,In Progress,Help Desk,macOS 14,,2025-05-10,"1. Open Desktop
2. Attempt normal operation
3. Observe: USB ports not working"
ITS-00071,[Software] Office 365 - not responding,My Office 365 is not responding. I've been experiencing this since this morning. Environment: Windows 11.,Software,Office 365,Service Request,Low,Low,In Progress,Help Desk,Windows 11,,2025-06-08,"1. Open Office 365
2. Attempt normal operation
3. Observe: not responding"
ITS-00072,Active Directory problem: account locked out,My Active Directory is account locked out. I've been experiencing this since this morning. Environment: Windows 11.,Account,Active Directory,Bug,Medium,Medium,Open,Help Desk,Windows 11,,2025-03-09,"1. Open Active Directory
2. Attempt normal operation
3. Observe: account locked out"
ITS-00073,Office 365 problem: compatibility issue,"Hi, I need help. Office 365 keeps compatibility issue. Started yesterday. I'm on Chrome OS.",Software,Office 365,Bug,Medium,Medium,Open,Help Desk,Chrome OS,,2025-04-13,"1. Open Office 365
2. Attempt normal operation
3. Observe: compatibility issue"
ITS-00074,Windows problem: cannot login,The Windows has been cannot login for the past few hours. OS: Ubuntu 22.04. Please help.,Software,Windows,Bug,High,High,Resolved,IT Operations,Ubuntu 22.04,Renewed license through admin portal. Verified with user that issue is fixed.,2025-09-27,"1. Open Windows
2. Attempt normal operation
3. Observe: cannot login"
ITS-00075,Printer no display output,Urgent: Printer - no display output. Multiple users reporting similar issues. Environment is Windows 10.,Hardware,Printer,Question,Low,Low,Resolved,Help Desk,Windows 10,Performed hardware diagnostic. Verified with user that issue is fixed.,2025-06-26,"1. Open Printer
2. Attempt normal operation
3. Observe: no display output"
ITS-00076,Desktop battery not charging,"Hi, I need help. Desktop keeps battery not charging. Started yesterday. I'm on Windows 11.",Hardware,Desktop,Service Request,Low,Low,Open,Help Desk,Windows 11,,2025-12-10,"1. Open Desktop
2. Attempt normal operation
3. Observe: battery not charging"
ITS-00077,[Account] SSO - account locked out,Issue with SSO: account locked out. This is affecting my work. Running on macOS 14.,Account,SSO,Service Request,Medium,Medium,Closed,DevOps,macOS 14,Created new account with standard template. Verified with user that issue is fixed.,2025-08-23,"1. Open SSO
2. Attempt normal operation
3. Observe: account locked out"
ITS-00078,Windows problem: error code 0x80070005,"Hi, I need help. Windows keeps error code 0x80070005. Started yesterday. I'm on Chrome OS.",Software,Windows,Question,Low,Low,Resolved,Network Engineering,Chrome OS,Renewed license through admin portal. Verified with user that issue is fixed.,2025-03-09,"1. Open Windows
2. Attempt normal operation
3. Observe: error code 0x80070005"
ITS-00079,[Account] Active Directory - permission denied,Issue with Active Directory: permission denied. This is affecting my work. Running on Chrome OS.,Account,Active Directory,Bug,Medium,Medium,Closed,Help Desk,Chrome OS,Reset password and synced. Verified with user that issue is fixed.,2025-06-15,"1. Open Active Directory
2. Attempt normal operation
3. Observe: permission denied"
ITS-00080,[Incident] Load Balancer - backup job failed overnight,"Hi, I need help. Load Balancer keeps backup job failed overnight. Started yesterday. I'm on Windows 10.",Incident,Load Balancer,Incident,Low,Low,Open,Help Desk,Windows 10,,2025-05-05,"1. Open Load Balancer
2. Attempt normal operation
3. Observe: backup job failed overnight"
ITS-00081,VPN plugin not working,The VPN has been plugin not working for the past few hours. OS: Chrome OS. Please help.,Software,VPN,Bug,Low,Low,Open,Help Desk,Chrome OS,,2025-06-18,"1. Open VPN
2. Attempt normal operation
3. Observe: plugin not working"
ITS-00082,[Hardware] Laptop - not turning on,The Laptop has been not turning on for the past few hours. OS: Windows 11. Please help.,Hardware,Laptop,Service Request,Medium,Medium,Resolved,Help Desk,Windows 11,Reseated RAM modules. Verified with user that issue is fixed.,2025-12-12,"1. Open Laptop
2. Attempt normal operation
3. Observe: not turning on"
ITS-00083,[Account] Password - group membership change needed,Urgent: Password - group membership change needed. Multiple users reporting similar issues. Environment is Windows 10.,Account,Password,Question,Medium,Medium,Closed,Network Engineering,Windows 10,Reset password and synced. Verified with user that issue is fixed.,2025-01-12,"1. Open Password
2. Attempt normal operation
3. Observe: group membership change needed"
ITS-00084,DNS packet loss,Urgent: DNS - packet loss. Multiple users reporting similar issues. Environment is macOS 14.,Network,DNS,Service Request,High,High,In Progress,IT Operations,macOS 14,,2025-03-09,"1. Open DNS
2. Attempt normal operation
3. Observe: packet loss"
ITS-00085,Mouse problem: not turning on,Urgent: Mouse - not turning on. Multiple users reporting similar issues. Environment is Chrome OS.,Hardware,Mouse,Question,Low,Low,In Progress,Network Engineering,Chrome OS,,2025-02-17,"1. Open Mouse
2. Attempt normal operation
3. Observe: not turning on"
ITS-00086,Storage memory exhaustion on app server,The Storage has been memory exhaustion on app server for the past few hours. OS: Chrome OS. Please help.,Incident,Storage,Incident,Low,Low,Resolved,Help Desk,Chrome OS,Re-ran backup with increased timeout. Verified with user that issue is fixed.,2025-08-20,"1. Open Storage
2. Attempt normal operation
3. Observe: memory exhaustion on app server"
ITS-00087,Storage problem: memory exhaustion on app server,Urgent: Storage - memory exhaustion on app server. Multiple users reporting similar issues. Environment is Chrome OS.,Incident,Storage,Incident,Medium,Medium,Resolved,Network Engineering,Chrome OS,Re-ran backup with increased timeout. Verified with user that issue is fixed.,2025-04-08,"1. Open Storage
2. Attempt normal operation
3. Observe: memory exhaustion on app server"
ITS-00088,Ethernet problem: IP conflict,Urgent: Ethernet - IP conflict. Multiple users reporting similar issues. Environment is Windows 11.,Network,Ethernet,Bug,Medium,Medium,Resolved,IT Operations,Windows 11,Flushed DNS cache. Verified with user that issue is fixed.,2025-04-15,"1. Open Ethernet
2. Attempt normal operation
3. Observe: IP conflict"
ITS-00089,[Incident] Load Balancer - memory exhaustion on app server,My Load Balancer is memory exhaustion on app server. I've been experiencing this since this morning. Environment: Windows 11.,Incident,Load Balancer,Incident,Low,Low,Resolved,DevOps,Windows 11,Freed disk space and set alerts. Verified with user that issue is fixed.,2025-03-09,"1. Open Load Balancer
2. Attempt normal operation
3. Observe: memory exhaustion on app server"
ITS-00090,SAP problem: crashing on startup,Issue with SAP: crashing on startup. This is affecting my work. Running on Ubuntu 22.04.,Software,SAP,Question,Medium,Medium,Resolved,IT Operations,Ubuntu 22.04,Applied latest patch. Verified with user that issue is fixed.,2025-05-19,"1. Open SAP
2. Attempt normal operation
3. Observe: crashing on startup"
ITS-00091,Laptop problem: not turning on,My Laptop is not turning on. I've been experiencing this since this morning. Environment: Windows 10.,Hardware,Laptop,Question,Medium,Medium,In Progress,IT Operations,Windows 10,,2025-02-16,"1. Open Laptop
2. Attempt normal operation
3. Observe: not turning on"
ITS-00092,[Hardware] Monitor - keyboard keys stuck,My Monitor is keyboard keys stuck. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Hardware,Monitor,Question,Low,Low,In Progress,DevOps,Ubuntu 22.04,,2025-02-25,"1. Open Monitor
2. Attempt normal operation
3. Observe: keyboard keys stuck"
ITS-00093,Proxy network drive not mapping,The Proxy has been network drive not mapping for the past few hours. OS: Chrome OS. Please help.,Network,Proxy,Question,Medium,Medium,In Progress,Help Desk,Chrome OS,,2025-03-18,"1. Open Proxy
2. Attempt normal operation
3. Observe: network drive not mapping"
