ticket_id,title,title_clean,description,description_clean,category,component,issue_type,severity,status,resolution,resolution_clean,error_codes,quality_score,embedding_text,source,unified_id
ITS-00011,Active Directory problem: group membership change needed,Active Directory problem: group membership change needed,"Hi, I need help. Active Directory keeps group membership change needed. Started yesterday. I'm on Chrome OS.","Hi, I need help. Active Directory keeps group membership change needed. Started yesterday. I'm on Chrome OS.",Account,Active Directory,Question,Low,Closed,Fixed SSO federation config. Verified with user that issue is fixed.,Fixed SSO federation config. Verified with user that issue is fixed.,[],1.0,"Title: Active Directory problem: group membership change needed
Description: Hi, I need help. Active Directory keeps group membership change needed. Started yesterday. I'm on Chrome OS.
Category: Account
Component: Active Directory
Severity: Low",synthetic,U-000010
ITS-00012,Docking Station problem: freezing randomly,Docking Station problem: freezing randomly,Urgent: Docking Station - freezing randomly. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Urgent: Docking Station - freezing randomly. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Hardware,Docking Station,Question,Medium,Closed,Replaced faulty component. Verified with user that issue is fixed.,Replaced faulty component. Verified with user that issue is fixed.,[],1.0,"Title: Docking Station problem: freezing randomly
Description: Urgent: Docking Station - freezing randomly. Multiple users reporting similar issues. Environment is Ubuntu 22.04.
Category: Hardware
Component: Docking Station
Severity: Medium",synthetic,U-000011
ITS-00013,Desktop problem: not turning on,Desktop problem: not turning on,Issue with Desktop: not turning on. This is affecting my work. Running on Windows 11.,Issue with Desktop: not turning on. This is affecting my work. Running on Windows 11.,Hardware,Desktop,Bug,Low,Open,,,[],1.0,"Title: Desktop problem: not turning on
Description: Issue with Desktop: not turning on. This is affecting my work. Running on Windows 11.
Category: Hardware
Component: Desktop
Severity: Low",synthetic,U-000012
ITS-00014,[Software] SAP - update failed,[Software] SAP - update failed,"Hi, I need help. SAP keeps update failed. Started yesterday. I'm on Windows 11.","Hi, I need help. SAP keeps update failed. Started yesterday. I'm on Windows 11.",Software,SAP,Question,Medium,Open,,,[],1.0,"Title: [Software] SAP - update failed
Description: Hi, I need help. SAP keeps update failed. Started yesterday. I'm on Windows 11.
Category: Software
Component: SAP
Severity: Medium",synthetic,U-000013
ITS-00015,DNS IP conflict,DNS IP conflict,My DNS is IP conflict. I've been experiencing this since this morning. Environment: macOS 14.,My DNS is IP conflict. I've been experiencing this since this morning. Environment: macOS 14.,Network,DNS,Bug,High,In Progress,,,[],1.0,"Title: DNS IP conflict
Description: My DNS is IP conflict. I've been experiencing this since this morning. Environment: macOS 14.
Category: Network
Component: DNS
Severity: High",synthetic,U-000014
ITS-00016,Storage problem: failover did not trigger,Storage problem: failover did not trigger,My Storage is failover did not trigger. I've been experiencing this since this morning. Environment: macOS 14.,My Storage is failover did not trigger. I've been experiencing this since this morning. Environment: macOS 14.,Incident,Storage,Incident,Low,In Progress,,,[],1.0,"Title: Storage problem: failover did not trigger
Description: My Storage is failover did not trigger. I've been experiencing this since this morning. Environment: macOS 14.
Category: Incident
Component: Storage
Severity: Low",synthetic,U-000015
ITS-00017,[Incident] Load Balancer - data sync failure between systems,[Incident] Load Balancer - data sync failure between systems,"Hi, I need help. Load Balancer keeps data sync failure between systems. Started yesterday. I'm on Ubuntu 22.04.","Hi, I need help. Load Balancer keeps data sync failure between systems. Started yesterday. I'm on Ubuntu 22.04.",Incident,Load Balancer,Incident,High,In Progress,,,[],1.0,"Title: [Incident] Load Balancer - data sync failure between systems
Description: Hi, I need help. Load Balancer keeps data sync failure between systems. Started yesterday. I'm on Ubuntu 22.04.
Category: Incident
Component: Load Balancer
Severity: High",synthetic,U-000016
ITS-00018,SAP compatibility issue,SAP compatibility issue,"Hi, I need help. SAP keeps compatibility issue. Started yesterday. I'm on Windows 10.","Hi, I need help. SAP keeps compatibility issue. Started yesterday. I'm on Windows 10.",Software,SAP,Service Request,High,In Progress,,,[],1.0,"Title: SAP compatibility issue
Description: Hi, I need help. SAP keeps compatibility issue. Started yesterday. I'm on Windows 10.
Category: Software
Component: SAP
Severity: High",synthetic,U-000017
ITS-00019,SAP license expired,SAP license expired,Urgent: SAP - license expired. Multiple users reporting similar issues. Environment is macOS 14.,Urgent: SAP - license expired. Multiple users reporting similar issues. Environment is macOS 14.,Software,SAP,Question,Medium,Resolved,Configured firewall exceptions. Verified with user that issue is fixed.,Configured firewall exceptions. Verified with user that issue is fixed.,[],1.0,"Title: SAP license expired
Description: Urgent: SAP - license expired. Multiple users reporting similar issues. Environment is macOS 14.
Category: Software
Component: SAP
Severity: Medium",synthetic,U-000018
ITS-00020,Proxy problem: IP conflict,Proxy problem: IP conflict,"Hi, I need help. Proxy keeps IP conflict. Started yesterday. I'm on Ubuntu 22.04.","Hi, I need help. Proxy keeps IP conflict. Started yesterday. I'm on Ubuntu 22.04.",Network,Proxy,Service Request,Medium,Open,,,[],1.0,"Title: Proxy problem: IP conflict
Description: Hi, I need help. Proxy keeps IP conflict. Started yesterday. I'm on Ubuntu 22.04.
Category: Network
Component: Proxy
Severity: Medium",synthetic,U-000019
ITS-00021,Email Server degraded performance across region,Email Server degraded performance across region,The Email Server has been degraded performance across region for the past few hours. OS: Windows 11. Please help.,The Email Server has been degraded performance across region for the past few hours. OS: Windows 11. Please help.,Incident,Email Server,Incident,Medium,Open,,,[],1.0,"Title: Email Server degraded performance across region
Description: The Email Server has been degraded performance across region for the past few hours. OS: Windows 11. Please help.
Category: Incident
Component: Email Server
Severity: Medium",synthetic,U-000020
ITS-00022,Laptop problem: fan making loud noise,Laptop problem: fan making loud noise,The Laptop has been fan making loud noise for the past few hours. OS: Windows 11. Please help.,The Laptop has been fan making loud noise for the past few hours. OS: Windows 11. Please help.,Hardware,Laptop,Question,Medium,Closed,Replaced faulty component. Verified with user that issue is fixed.,Replaced faulty component. Verified with user that issue is fixed.,[],1.0,"Title: Laptop problem: fan making loud noise
Description: The Laptop has been fan making loud noise for the past few hours. OS: Windows 11. Please help.
Category: Hardware
Component: Laptop
Severity: Medium",synthetic,U-000021
ITS-00023,[Software] Salesforce - compatibility issue,[Software] Salesforce - compatibility issue,My Salesforce is compatibility issue. I've been experiencing this since this morning. Environment: Windows 10.,My Salesforce is compatibility issue. I've been experiencing this since this morning. Environment: Windows 10.,Software,Salesforce,Service Request,Critical,Closed,Configured firewall exceptions. Verified with user that issue is fixed.,Configured firewall exceptions. Verified with user that issue is fixed.,[],1.0,"Title: [Software] Salesforce - compatibility issue
Description: My Salesforce is compatibility issue. I've been experiencing this since this morning. Environment: Windows 10.
Category: Software
Component: Salesforce
Severity: Critical",synthetic,U-000022
ITS-00024,[Hardware] Mouse - not turning on,[Hardware] Mouse - not turning on,"Hi, I need help. Mouse keeps not turning on. Started yesterday. I'm on Chrome OS.","Hi, I need help. Mouse keeps not turning on. Started yesterday. I'm on Chrome OS.",Hardware,Mouse,Question,Low,Closed,Replaced faulty component. Verified with user that issue is fixed.,Replaced faulty component. Verified with user that issue is fixed.,[],1.0,"Title: [Hardware] Mouse - not turning on
Description: Hi, I need help. Mouse keeps not turning on. Started yesterday. I'm on Chrome OS.
Category: Hardware
Component: Mouse
Severity: Low",synthetic,U-000023
ITS-00025,Docking Station freezing randomly,Docking Station freezing randomly,The Docking Station has been freezing randomly for the past few hours. OS: Windows 10. Please help.,The Docking Station has been freezing randomly for the past few hours. OS: Windows 10. Please help.,Hardware,Docking Station,Service Request,Critical,In Progress,,,[],1.0,"Title: Docking Station freezing randomly
Description: The Docking Station has been freezing randomly for the past few hours. OS: Windows 10. Please help.
Category: Hardware
Component: Docking Station
Severity: Critical",synthetic,U-000024
ITS-00026,Proxy problem: cannot access internal resources,Proxy problem: cannot access internal resources,My Proxy is cannot access internal resources. I've been experiencing this since this morning. Environment: macOS 14.,My Proxy is cannot access internal resources. I've been experiencing this since this morning. Environment: macOS 14.,Network,Proxy,Service Request,Medium,In Progress,,,[],1.0,"Title: Proxy problem: cannot access internal resources
Description: My Proxy is cannot access internal resources. I've been experiencing this since this morning. Environment: macOS 14.
Category: Network
Component: Proxy
Severity: Medium",synthetic,U-000025
ITS-00027,Outlook missing features after update,Outlook missing features after update,The Outlook has been missing features after update for the past few hours. OS: Windows 10. Please help.,The Outlook has been missing features after update for the past few hours. OS: Windows 10. Please help.,Software,Outlook,Question,Medium,In Progress,,,[],1.0,"Title: Outlook missing features after update
Description: The Outlook has been missing features after update for the past few hours. OS: Windows 10. Please help.
Category: Software
Component: Outlook
Severity: Medium",synthetic,U-000026
ITS-00028,Active Directory SSO login loop,Active Directory SSO login loop,Issue with Active Directory: SSO login loop. This is affecting my work. Running on Chrome OS.,Issue with Active Directory: SSO login loop. This is affecting my work. Running on Chrome OS.,Account,Active Directory,Service Request,Low,In Progress,,,[],1.0,"Title: Active Directory SSO login loop
Description: Issue with Active Directory: SSO login loop. This is affecting my work. Running on Chrome OS.
Category: Account
Component: Active Directory
Severity: Low",synthetic,U-000027
ITS-00029,Database problem: unauthorized access attempt detected,Database problem: unauthorized access attempt detected,The Database has been unauthorized access attempt detected for the past few hours. OS: Ubuntu 22.04. Please help.,The Database has been unauthorized access attempt detected for the past few hours. OS: Ubuntu 22.04. Please help.,Incident,Database,Incident,Medium,In Progress,,,[],1.0,"Title: Database problem: unauthorized access attempt detected
Description: The Database has been unauthorized access attempt detected for the past few hours. OS: Ubuntu 22.04. Please help.
Category: Incident
Component: Database
Severity: Medium",synthetic,U-000028
ITS-00030,[Hardware] Keyboard - not turning on,[Hardware] Keyboard - not turning on,"Hi, I need help. Keyboard keeps not turning on. Started yesterday. I'm on Windows 10.","Hi, I need help. Keyboard keeps not turning on. Started yesterday. I'm on Windows 10.",Hardware,Keyboard,Bug,Medium,Open,,,[],1.0,"Title: [Hardware] Keyboard - not turning on
Description: Hi, I need help. Keyboard keeps not turning on. Started yesterday. I'm on Windows 10.
Category: Hardware
Component: Keyboard
Severity: Medium",synthetic,U-000029
ITS-00031,[Hardware] Printer - fan making loud noise,[Hardware] Printer - fan making loud noise,"Hi, I need help. Printer keeps fan making loud noise. Started yesterday. I'm on Chrome OS.","Hi, I need help. Printer keeps fan making loud noise. Started yesterday. I'm on Chrome OS.",Hardware,Printer,Bug,High,Open,,,[],1.0,"Title: [Hardware] Printer - fan making loud noise
Description: Hi, I need help. Printer keeps fan making loud noise. Started yesterday. I'm on Chrome OS.
Category: Hardware
Component: Printer
Severity: High",synthetic,U-000030
ITS-00032,[Network] DNS - VPN connection drops,[Network] DNS - VPN connection drops,My DNS is VPN connection drops. I've been experiencing this since this morning. Environment: Windows 11.,My DNS is VPN connection drops. I've been experiencing this since this morning. Environment: Windows 11.,Network,DNS,Bug,Medium,Resolved,Updated VPN client. Verified with user that issue is fixed.,Updated VPN client. Verified with user that issue is fixed.,[],1.0,"Title: [Network] DNS - VPN connection drops
Description: My DNS is VPN connection drops. I've been experiencing this since this morning. Environment: Windows 11.
Category: Network
Component: DNS
Severity: Medium",synthetic,U-000031
ITS-00033,Web App problem: backup job failed overnight,Web App problem: backup job failed overnight,Issue with Web App: backup job failed overnight. This is affecting my work. Running on macOS 14.,Issue with Web App: backup job failed overnight. This is affecting my work. Running on macOS 14.,Incident,Web App,Incident,Medium,Resolved,Re-ran backup with increased timeout. Verified with user that issue is fixed.,Re-ran backup with increased timeout. Verified with user that issue is fixed.,[],1.0,"Title: Web App problem: backup job failed overnight
Description: Issue with Web App: backup job failed overnight. This is affecting my work. Running on macOS 14.
Category: Incident
Component: Web App
Severity: Medium",synthetic,U-000032
ITS-00034,Docking Station cracked screen,Docking Station cracked screen,Issue with Docking Station: cracked screen. This is affecting my work. Running on Ubuntu 22.04.,Issue with Docking Station: cracked screen. This is affecting my work. Running on Ubuntu 22.04.,Hardware,Docking Station,Question,Low,Closed,Replaced faulty component. Verified with user that issue is fixed.,Replaced faulty component. Verified with user that issue is fixed.,[],1.0,"Title: Docking Station cracked screen
Description: Issue with Docking Station: cracked screen. This is affecting my work. Running on Ubuntu 22.04.
Category: Hardware
Component: Docking Station
Severity: Low",synthetic,U-000033
ITS-00035,Database unauthorized access attempt detected,Database unauthorized access attempt detected,My Database is unauthorized access attempt detected. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,My Database is unauthorized access attempt detected. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Incident,Database,Incident,Medium,Open,,,[],1.0,"Title: Database unauthorized access attempt detected
Description: My Database is unauthorized access attempt detected. I've been experiencing this since this morning. Environment: Ubuntu 22.04.
Category: Incident
Component: Database
Severity: Medium",synthetic,U-000034
ITS-00036,[Software] Salesforce - license expired,[Software] Salesforce - license expired,"Hi, I need help. Salesforce keeps license expired. Started yesterday. I'm on Windows 10.","Hi, I need help. Salesforce keeps license expired. Started yesterday. I'm on Windows 10.",Software,Salesforce,Question,Medium,Open,,,[],1.0,"Title: [Software] Salesforce - license expired
Description: Hi, I need help. Salesforce keeps license expired. Started yesterday. I'm on Windows 10.
Category: Software
Component: Salesforce
Severity: Medium",synthetic,U-000035
ITS-00037,VPN cannot connect to WiFi,VPN cannot connect to WiFi,The VPN has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.,The VPN has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.,Network,VPN,Question,Medium,Resolved,Replaced network cable. Verified with user that issue is fixed.,Replaced network cable. Verified with user that issue is fixed.,[],1.0,"Title: VPN cannot connect to WiFi
Description: The VPN has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.
Category: Network
Component: VPN
Severity: Medium",synthetic,U-000036
ITS-00038,Printer not turning on,Printer not turning on,"Hi, I need help. Printer keeps not turning on. Started yesterday. I'm on Windows 11.","Hi, I need help. Printer keeps not turning on. Started yesterday. I'm on Windows 11.",Hardware,Printer,Service Request,Medium,Closed,Ordered replacement unit. Verified with user that issue is fixed.,Ordered replacement unit. Verified with user that issue is fixed.,[],1.0,"Title: Printer not turning on
Description: Hi, I need help. Printer keeps not turning on. Started yesterday. I'm on Windows 11.
Category: Hardware
Component: Printer
Severity: Medium",synthetic,U-000037
ITS-00039,Database problem: unauthorized access attempt detected,Database problem: unauthorized access attempt detected,Issue with Database: unauthorized access attempt detected. This is affecting my work. Running on Windows 11.,Issue with Database: unauthorized access attempt detected. This is affecting my work. Running on Windows 11.,Incident,Database,Incident,Low,In Progress,,,[],1.0,"Title: Database problem: unauthorized access attempt detected
Description: Issue with Database: unauthorized access attempt detected. This is affecting my work. Running on Windows 11.
Category: Incident
Component: Database
Severity: Low",synthetic,U-000038
ITS-00040,Outlook not responding,Outlook not responding,"Hi, I need help. Outlook keeps not responding. Started yesterday. I'm on Windows 11.","Hi, I need help. Outlook keeps not responding. Started yesterday. I'm on Windows 11.",Software,Outlook,Service Request,Medium,Closed,Reset user profile. Verified with user that issue is fixed.,Reset user profile. Verified with user that issue is fixed.,[],1.0,"Title: Outlook not responding
Description: Hi, I need help. Outlook keeps not responding. Started yesterday. I'm on Windows 11.
Category: Software
Component: Outlook
Severity: Medium",synthetic,U-000039
ITS-00041,Laptop problem: slow performance,Laptop problem: slow performance,My Laptop is slow performance. I've been experiencing this since this morning. Environment: Windows 11.,My Laptop is slow performance. I've been experiencing this since this morning. Environment: Windows 11.,Hardware,Laptop,Bug,Critical,Resolved,Cleaned internal fans. Verified with user that issue is fixed.,Cleaned internal fans. Verified with user that issue is fixed.,[],1.0,"Title: Laptop problem: slow performance
Description: My Laptop is slow performance. I've been experiencing this since this morning. Environment: Windows 11.
Category: Hardware
Component: Laptop
Severity: Critical",synthetic,U-000040
ITS-00042,Outlook problem: crashing on startup,Outlook problem: crashing on startup,"Hi, I need help. Outlook keeps crashing on startup. Started yesterday. I'm on Chrome OS.","Hi, I need help. Outlook keeps crashing on startup. Started yesterday. I'm on Chrome OS.",Software,Outlook,Question,Medium,Closed,Configured firewall exceptions. Verified with user that issue is fixed.,Configured firewall exceptions. Verified with user that issue is fixed.,[],1.0,"Title: Outlook problem: crashing on startup
Description: Hi, I need help. Outlook keeps crashing on startup. Started yesterday. I'm on Chrome OS.
Category: Software
Component: Outlook
Severity: Medium",synthetic,U-000041
ITS-00043,Laptop problem: not connecting to docking station,Laptop problem: not connecting to docking station,Issue with Laptop: not connecting to docking station. This is affecting my work. Running on Ubuntu 22.04.,Issue with Laptop: not connecting to docking station. This is affecting my work. Running on Ubuntu 22.04.,Hardware,Laptop,Bug,Medium,In Progress,,,[],1.0,"Title: Laptop problem: not connecting to docking station
Description: Issue with Laptop: not connecting to docking station. This is affecting my work. Running on Ubuntu 22.04.
Category: Hardware
Component: Laptop
Severity: Medium",synthetic,U-000042
ITS-00044,Load Balancer problem: memory exhaustion on app server,Load Balancer problem: memory exhaustion on app server,"Hi, I need help. Load Balancer keeps memory exhaustion on app server. Started yesterday. I'm on Ubuntu 22.04.","Hi, I need help. Load Balancer keeps memory exhaustion on app server. Started yesterday. I'm on Ubuntu 22.04.",Incident,Load Balancer,Incident,High,In Progress,,,[],1.0,"Title: Load Balancer problem: memory exhaustion on app server
Description: Hi, I need help. Load Balancer keeps memory exhaustion on app server. Started yesterday. I'm on Ubuntu 22.04.
Category: Incident
Component: Load Balancer
Severity: High",synthetic,U-000043
ITS-00045,[Network] DNS - cannot connect to WiFi,[Network] DNS - cannot connect to WiFi,The DNS has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.,The DNS has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.,Network,DNS,Bug,Critical,Open,,,[],1.0,"Title: [Network] DNS - cannot connect to WiFi
Description: The DNS has been cannot connect to WiFi for the past few hours. OS: macOS 14. Please help.
Category: Network
Component: DNS
Severity: Critical",synthetic,U-000044
ITS-00046,[Incident] Storage - SSL certificate expired,[Incident] Storage - SSL certificate expired,My Storage is SSL certificate expired. I've been experiencing this since this morning. Environment: Chrome OS.,My Storage is SSL certificate expired. I've been experiencing this since this morning. Environment: Chrome OS.,Incident,Storage,Incident,Medium,Resolved,Re-ran backup with increased timeout. Verified with user that issue is fixed.,Re-ran backup with increased timeout. Verified with user that issue is fixed.,[],1.0,"Title: [Incident] Storage - SSL certificate expired
Description: My Storage is SSL certificate expired. I've been experiencing this since this morning. Environment: Chrome OS.
Category: Incident
Component: Storage
Severity: Medium",synthetic,U-000045
ITS-00047,[Incident] Storage - data sync failure between systems,[Incident] Storage - data sync failure between systems,Issue with Storage: data sync failure between systems. This is affecting my work. Running on Ubuntu 22.04.,Issue with Storage: data sync failure between systems. This is affecting my work. Running on Ubuntu 22.04.,Incident,Storage,Incident,Medium,Closed,Restarted affected services. Verified with user that issue is fixed.,Restarted affected services. Verified with user that issue is fixed.,[],1.0,"Title: [Incident] Storage - data sync failure between systems
Description: Issue with Storage: data sync failure between systems. This is affecting my work. Running on Ubuntu 22.04.
Category: Incident
Component: Storage
Severity: Medium",synthetic,U-000046
ITS-00048,[Software] VPN - update failed,[Software] VPN - update failed,"Hi, I need help. VPN keeps update failed. Started yesterday. I'm on macOS 14.","Hi, I need help. VPN keeps update failed. Started yesterday. I'm on macOS 14.",Software,VPN,Bug,Medium,Closed,Reinstalled application. Verified with user that issue is fixed.,Reinstalled application. Verified with user that issue is fixed.,[],1.0,"Title: [Software] VPN - update failed
Description: Hi, I need help. VPN keeps update failed. Started yesterday. I'm on macOS 14.
Category: Software
Component: VPN
Severity: Medium",synthetic,U-000047
ITS-00049,Email problem: permission denied,Email problem: permission denied,Urgent: Email - permission denied. Multiple users reporting similar issues. Environment is Chrome OS.,Urgent: Email - permission denied. Multiple users reporting similar issues. Environment is Chrome OS.,Account,Email,Service Request,High,Open,,,[],1.0,"Title: Email problem: permission denied
Description: Urgent: Email - permission denied. Multiple users reporting similar issues. Environment is Chrome OS.
Category: Account
Component: Email
Severity: High",synthetic,U-000048
ITS-00050,VPN problem: not syncing properly,VPN problem: not syncing properly,"Hi, I need help. VPN keeps not syncing properly. Started yesterday. I'm on macOS 14.","Hi, I need help. VPN keeps not syncing properly. Started yesterday. I'm on macOS 14.",Software,VPN,Service Request,High,Open,,,[],1.0,"Title: VPN problem: not syncing properly
Description: Hi, I need help. VPN keeps not syncing properly. Started yesterday. I'm on macOS 14.
Category: Software
Component: VPN
Severity: High",synthetic,U-000049
ITS-00051,Ethernet IP conflict,Ethernet IP conflict,Issue with Ethernet: IP conflict. This is affecting my work. Running on Windows 10.,Issue with Ethernet: IP conflict. This is affecting my work. Running on Windows 10.,Network,Ethernet,Service Request,Medium,Open,,,[],1.0,"Title: Ethernet IP conflict
Description: Issue with Ethernet: IP conflict. This is affecting my work. Running on Windows 10.
Category: Network
Component: Ethernet
Severity: Medium",synthetic,U-000050
ITS-00052,Password problem: email forwarding setup,Password problem: email forwarding setup,Urgent: Password - email forwarding setup. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Urgent: Password - email forwarding setup. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Account,Password,Service Request,High,In Progress,,,[],1.0,"Title: Password problem: email forwarding setup
Description: Urgent: Password - email forwarding setup. Multiple users reporting similar issues. Environment is Ubuntu 22.04.
Category: Account
Component: Password
Severity: High",synthetic,U-000051
ITS-00053,Desktop battery not charging,Desktop battery not charging,The Desktop has been battery not charging for the past few hours. OS: Windows 11. Please help.,The Desktop has been battery not charging for the past few hours. OS: Windows 11. Please help.,Hardware,Desktop,Service Request,High,In Progress,,,[],1.0,"Title: Desktop battery not charging
Description: The Desktop has been battery not charging for the past few hours. OS: Windows 11. Please help.
Category: Hardware
Component: Desktop
Severity: High",synthetic,U-000052
ITS-00054,SSO problem: cannot access shared mailbox,SSO problem: cannot access shared mailbox,My SSO is cannot access shared mailbox. I've been experiencing this since this morning. Environment: Chrome OS.,My SSO is cannot access shared mailbox. I've been experiencing this since this morning. Environment: Chrome OS.,Account,SSO,Bug,High,Resolved,Reset password and synced. Verified with user that issue is fixed.,Reset password and synced. Verified with user that issue is fixed.,[],1.0,"Title: SSO problem: cannot access shared mailbox
Description: My SSO is cannot access shared mailbox. I've been experiencing this since this morning. Environment: Chrome OS.
Category: Account
Component: SSO
Severity: High",synthetic,U-000053
ITS-00055,Keyboard problem: no display output,Keyboard problem: no display output,The Keyboard has been no display output for the past few hours. OS: macOS 14. Please help.,The Keyboard has been no display output for the past few hours. OS: macOS 14. Please help.,Hardware,Keyboard,Service Request,Medium,Open,,,[],1.0,"Title: Keyboard problem: no display output
Description: The Keyboard has been no display output for the past few hours. OS: macOS 14. Please help.
Category: Hardware
Component: Keyboard
Severity: Medium",synthetic,U-000054
